Unique ID;sensor type;batch #;wafer #;sensor name;manufacturer;production date;current owner;current location;V_fd, V;I_150V_20C, uA;I_250V_20C;strips defect, p-side;strips defect, n-side;quality grade (0..10);problem, Y/N;passed, Y/N;comment
1;CBM06C6;331827;1;main;CiS;03/06/14;J. Heuser;GSI;71,61;11,198;15,562;10;0;;YES;NO;
2;CBM06C6;331827;2;main;CiS;03/06/14;J. Heuser;GSI;77;9,883;11,654;4;0;;NO;YES;
3;CBM06C6;331827;3;main;CiS;03/06/14;J. Heuser;GSI;;16,142;39,72;0;0;;NO;NO;
4;CBM06C6;331827;4;main;CiS;03/06/14;J. Heuser;GSI;71;10,46;12,332;0;0;;NO;YES;
5;CBM06C6;331827;5;main;CiS;03/06/14;J. Heuser;GSI;72;8,59;9,82;0;0;;YES;NO;
6;CBM06C6;331827;6;main;CiS;03/06/14;J. Heuser;GSI;;9,389;12,912;0;0;;NO;NO;
7;CBM06C6;331827;7;main;CiS;03/06/14;J. Heuser;GSI;;11,929;24,43;0;1;;NO;NO;
8;CBM06C6;331827;8;main;CiS;03/06/14;J. Heuser;GSI;65;9,352;11,17;0;3;;NO;YES;
9;CBM06C6;331827;9;main;CiS;03/06/14;J. Heuser;GSI;60;9,827;11,48;0;0;;NO;YES;
10;CBM06C6;331827;10;main;CiS;03/06/14;J. Heuser;GSI;;10,181;12,039;0;3;;NO;NO;
11;CBM06C6;331827;11;main;CiS;03/06/14;J. Heuser;GSI;;10,12;12,152;0;2;;NO;NO;
12;CBM06C6;331827;12;main;CiS;03/06/14;J. Heuser;GSI;;11,384;13,27;0;0;;NO;NO;
13;CBM06C6;331827;13;main;CiS;03/06/14;J. Heuser;GSI;;10,976;14,087;0;0;;NO;NO;
14;CBM06C6;331827;14;main;CiS;03/06/14;J. Heuser;GSI;;4,319;8,896;0;5;;NO;NO;
15;CBM06C6;331827;15;main;CiS;03/06/14;J. Heuser;GSI;;99;99;0;0;;YES;NO;
16;CBM06C6;331827;16;main;CiS;03/06/14;J. Heuser;GSI;;5,287;7,709;0;0;;NO;NO
17;CBM06C6;331827;17;main;CiS;03/06/14;J. Heuser;GSI;;5,299;7,548;0;0;;NO;NO
18;CBM06C6;331827;18;main;CiS;03/06/14;J. Heuser;GSI;;5,72;8,466;0;0;;NO;NO
19;CBM06C6;331827;19;main;CiS;03/06/14;J. Heuser;GSI;;5,681;7,683;0;0;;NO;NO
20;CBM06C6;331827;20;main;CiS;03/06/14;J. Heuser;GSI;;4,84;7,38;0;0;;NO;NO
21;CBM06C6;331827;21;main;CiS;03/06/14;J. Heuser;GSI;;5,11;8,48;0;0;;NO;NO
22;CBM06C6;331827;22;main;CiS;03/06/14;J. Heuser;GSI;;5,11;12,29;0;0;;NO;NO
23;CBM06C6;331827;23;main;CiS;03/06/14;J. Heuser;GSI;;5,25;10,11;0;0;;NO;NO
24;CBM06C6;331827;24;main;CiS;03/06/14;J. Heuser;GSI;;5,557;11,157;0;0;;NO;NO
25;CBM06C6;331827;25;main;CiS;03/06/14;J. Heuser;GSI;;8,4;15,146;0;0;;NO;NO
26;CBM05H4;S10938-1609 ;1;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;765,9;;5;3;;NO;YES
27;CBM05H4;S10938-1609 ;2;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;1145,5;;2;1;;NO;YES
28;CBM05H4;S10938-1609;3;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;1127,5;;3;1;;NO;YES
29;CBM05H4;S10938-1609;4;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;775,4;;4;0;;NO;YES
30;CBM05H4;S10938-1609;5;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;1494;;4;0;;NO;YES
31;CBM05H4;S10938-1609;6;main;Hamamatsu;02/18/14;J. Heuser;GSI;65;1152,8;;3;0;;NO;YES
32;CBM05H4;S10938-1609;7;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;1110,9;;3;1;;NO;YES
33;CBM05H4;S10938-1609;8;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;766,4;;2;1;;NO;YES
34;CBM05H4;S10938-1609;9;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;1289,9;;2;0;;NO;YES
35;CBM05H4;S10938-1609;10;main;Hamamatsu;02/18/14;J. Heuser;GSI;75;1014,9;;1;0;;NO;YES
36;CBM05H4;S10938-1609;11;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;1510,3;;4;0;;NO;YES
37;CBM05H4;S10938-1609;12;main;Hamamatsu;02/18/14;J. Heuser;GSI;75;984,4;;3;0;;NO;YES
38;CBM05H4;S10938-1609;13;main;Hamamatsu;02/18/14;J. Heuser;GSI;75;761,3;;3;0;;NO;YES
39;CBM05H4;S10938-1609;14;main;Hamamatsu;02/18/14;J. Heuser;GSI;75;930,4;;6;0;;NO;YES
40;CBM05H4;S10938-1609;15;main;Hamamatsu;02/18/14;J. Heuser;GSI;70;956,8;;4;0;;NO;YES
